x0,V_x0,wall_time_s
2.573999999999998511e-01,-1.071865083858450918e+00,3.039999008178710938e-01
2.672999999999998710e-01,-1.072833025129833917e+00,2.730000019073485773e-01
2.771999999999998909e-01,-1.073121379678116938e+00,3.300001621246337891e-01
2.870999999999999108e-01,-1.072737694976543921e+00,3.069999217987061102e-01
2.969999999999999307e-01,-1.071690047517616984e+00,4.170000553131104071e-01
3.068999999999999506e-01,-1.069987036722920060e+00,1.259999275207520086e-01
3.167999999999999705e-01,-1.067637778457311004e+00,6.070001125335693359e-01
3.266999999999999904e-01,-1.064651899504688082e+00,6.529998779296875000e-01
3.365999999999997883e-01,-1.061039529538488013e+00,3.410000801086425781e-01
3.464999999999998082e-01,-1.056811295345702062e+00,4.019999504089354914e-01
3.563999999999998280e-01,-1.051978313852045988e+00,4.309999942779541016e-01
3.662999999999998479e-01,-1.046552185304884919e+00,1.329998970031738004e-01
3.761999999999998678e-01,-1.040544978565941081e+00,4.969999790191649836e-01
3.860999999999998877e-01,-1.033969256571730000e+00,9.739999771118164062e-01
3.959999999999999076e-01,-1.026838021815074109e+00,8.159999847412109375e-01
4.058999999999999275e-01,-1.019164742226480902e+00,1.389999389648438055e-01
4.157999999999999474e-01,-1.010963337312335897e+00,5.830001831054687500e-01
4.256999999999999673e-01,-1.002248172762985057e+00,4.159998893737792969e-01
4.355999999999997652e-01,-9.930340554902549188e-01,3.329999446868895929e-01
4.454999999999997851e-01,-9.833362290984344334e-01,5.250000953674316406e-01
4.553999999999998050e-01,-9.731703713502580788e-01,2.849998474121093750e-01
4.652999999999998249e-01,-9.625525898914082390e-01,3.619999885559082031e-01
4.751999999999998447e-01,-9.514994215712907488e-01,2.770001888275145929e-01
4.850999999999998646e-01,-9.400278316610102269e-01,2.360000610351561945e-01
4.949999999999998845e-01,-9.281552145866919235e-01,6.760001182556152344e-01
5.048999999999999044e-01,-9.158992803627642454e-01,1.019999980926513949e-01
5.147999999999999243e-01,-9.032785226741221196e-01,4.289999008178710938e-01
5.246999999999999442e-01,-8.903115284318418032e-01,3.159999847412108820e-01
5.345999999999999641e-01,-8.770174508762764720e-01,4.389998912811278742e-01
5.444999999999997620e-01,-8.634159043916348475e-01,3.429999351501464844e-01
5.543999999999997819e-01,-8.495269785307730803e-01,1.900000572204590121e-01
5.642999999999998018e-01,-8.353712553436634103e-01,1.600003242492676128e-02
5.741999999999998217e-01,-8.209698318238992654e-01,5.939998626708984375e-01
5.840999999999998415e-01,-8.063443445534377307e-01,5.010001659393310547e-01
5.939999999999998614e-01,-7.915170019673076762e-01,3.750000000000000000e-01
6.038999999999998813e-01,-7.765106215211311502e-01,6.240000724792480469e-01
6.137999999999999012e-01,-7.613486740344306281e-01,1.569998264312743863e-01
6.236999999999999211e-01,-7.460553362314991110e-01,2.130000591278075894e-01
6.335999999999999410e-01,-7.306555460672441438e-01,3.870000839233397882e-01
6.434999999999999609e-01,-7.151751023084502723e-01,2.039999961853027066e-01
6.533999999999997588e-01,-6.996407106020784417e-01,6.019999980926513672e-01
6.632999999999997787e-01,-6.840801112801091488e-01,3.590002059936522882e-01
6.731999999999997986e-01,-6.685221919247068545e-01,3.239998817443848211e-01
6.830999999999998185e-01,-6.529971279200180723e-01,2.790000438690186102e-01
6.929999999999998384e-01,-6.375365484108962422e-01,1.920001506805419922e-01
7.028999999999998582e-01,-6.221737337359857234e-01,5.280001163482666016e-01
7.127999999999998781e-01,-6.069438480527580282e-01,5.260000228881835938e-01
7.226999999999998980e-01,-5.918842185720430971e-01,4.210000038146973211e-01
7.325999999999999179e-01,-5.770346687228501414e-01,9.670000076293945312e-01
7.424999999999999378e-01,-5.624379188397750085e-01,2.809998989105225164e-01
7.523999999999999577e-01,-5.481399347274562572e-01,6.559998989105224609e-01
7.622999999999997556e-01,-5.341910599068193655e-01,5.179998874664306641e-01
7.721999999999997755e-01,-5.206459183128666623e-01,6.920001506805419922e-01
7.820999999999997954e-01,-5.075648468761362331e-01,5.759999752044677734e-01
7.919999999999998153e-01,-4.950148598913193254e-01,3.659999370574951172e-01
8.018999999999998352e-01,-4.830710280414279856e-01,5.299999713897705078e-01
8.117999999999998550e-01,-4.718182223304570044e-01,3.999998569488524836e-01
8.216999999999998749e-01,-4.613533429574367961e-01,6.170001029968261719e-01
8.315999999999998948e-01,-4.517882025819726088e-01,4.539999961853026789e-01
8.414999999999999147e-01,-4.432533039391605145e-01,6.579999923706054688e-01
8.513999999999999346e-01,-4.359028654092141908e-01,5.490000247955322266e-01
8.612999999999997325e-01,-4.299216166682779949e-01,3.289999961853026789e-01
8.711999999999997524e-01,-4.255341631661068158e-01,8.789999485015869141e-01
8.810999999999997723e-01,-4.230181681539531002e-01,3.780000209808350164e-01
8.909999999999997922e-01,-4.227233831280883258e-01,3.780000209808350164e-01
9.008999999999998121e-01,-4.250998849164808746e-01,2.879998683929442804e-01
9.107999999999998320e-01,-4.307414620984225118e-01,9.019999504089355469e-01
9.206999999999998519e-01,-4.404549623455144003e-01,4.079999923706055243e-01
9.305999999999998717e-01,-4.553767066252211171e-01,3.939998149871826172e-01
9.404999999999998916e-01,-4.771801440424578988e-01,7.390000820159912109e-01
9.503999999999999115e-01,-5.084762061663035126e-01,7.690000534057617188e-01
9.602999999999999314e-01,-5.536694250042970555e-01,3.310000896453856867e-01
9.701999999999997293e-01,-6.210767290936354268e-01,5.659999847412109375e-01
9.800999999999997492e-01,-7.295008456358440529e-01,9.749999046325683594e-01
9.899999999999999911e-01,-9.392405290503382798e-01,3.180000782012938898e-01
