x,J0_x,wall_time_s
2.233333333333333215e+01,-1.520959201612709089e-01,4.200005531311035156e-02
2.250000000000000000e+01,-1.615403413369423113e-01,4.500007629394531250e-02
2.266666666666666430e+01,-1.664546392561394028e-01,7.899999618530273438e-02
2.283333333333333215e+01,-1.667367887537344051e-01,4.699993133544921875e-02
2.300000000000000000e+01,-1.624127193684566928e-01,4.699993133544921875e-02
2.316666666666666430e+01,-1.536352099959749085e-01,4.699993133544921875e-02
2.333333333333333215e+01,-1.406780344556053941e-01,9.100008010864257812e-02
2.350000000000000000e+01,-1.239281687732790016e-01,6.299996376037597656e-02
2.366666666666666430e+01,-1.038745299659649957e-01,6.299996376037597656e-02
2.383333333333333215e+01,-8.109273893434287839e-02,4.700016975402832031e-02
2.400000000000000000e+01,-5.623028140218935822e-02,4.500007629394531250e-02
2.416666666666666430e+01,-2.998684432286315149e-02,6.200003623962402344e-02
2.433333333333333215e+01,-3.095638855801459161e-03,4.699993133544921875e-02
2.450000000000000000e+01,2.369747474454588984e-02,4.699993133544921875e-02
2.466666666666666430e+01,4.965450687067941848e-02,5.799984931945800781e-02
2.483333333333333215e+01,7.406510376486233338e-02,6.200003623962402344e-02
2.500000000000000000e+01,9.626679385742313577e-02,7.899999618530273438e-02
2.516666666666666430e+01,1.156619460785257986e-01,4.699993133544921875e-02
2.533333333333333215e+01,1.317336271450945118e-01,4.699993133544921875e-02
2.550000000000000000e+01,1.440621805822152879e-01,6.299996376037597656e-02
2.566666666666666430e+01,1.523303954373627089e-01,6.299996376037597656e-02
2.583333333333333215e+01,1.563371966183005057e-01,6.400012969970703125e-02
2.600000000000000000e+01,1.559992956111709017e-01,4.700016975402832031e-02
2.616666666666666430e+01,1.513541689366469101e-01,6.599998474121093750e-02
2.633333333333333215e+01,1.425573004418566880e-01,5.099987983703613281e-02
2.650000000000000000e+01,1.298775933252644121e-01,4.399991035461425781e-02
2.666666666666666430e+01,1.136892200727118024e-01,6.500005722045898438e-02
2.683333333333333215e+01,9.446086478207178783e-02,6.399989128112792969e-02
2.700000000000000000e+01,7.274189022566060481e-02,6.600022315979003906e-02
2.716666666666666430e+01,4.914672971955164754e-02,5.699992179870604775e-02
2.733333333333333215e+01,2.433800583856886995e-02,6.599998474121093750e-02
2.750000000000000000e+01,-9.922833966652423732e-04,5.900001525878906250e-02
2.766666666666666430e+01,-2.614212997018371121e-02,7.199978828430175781e-02
2.783333333333333215e+01,-5.041864233161245240e-02,6.300020217895507812e-02
2.800000000000000000e+01,-7.315703089317399099e-02,6.500005722045898438e-02
2.816666666666666430e+01,-9.373912309363668927e-02,6.500005722045898438e-02
2.833333333333333215e+01,-1.116095592465306957e-01,5.400013923645020225e-02
2.850000000000000000e+01,-1.262912124372501110e-01,6.299996376037597656e-02
2.866666666666666430e+01,-1.373973697545237960e-01,6.299996376037597656e-02
2.883333333333333215e+01,-1.446424094519228876e-01,6.299996376037597656e-02
2.900000000000000000e+01,-1.478487500626906037e-01,6.299996376037597656e-02
2.916666666666666430e+01,-1.469511051026894111e-01,8.000016212463378906e-02
2.933333333333333215e+01,-1.419974407657786930e-01,5.200004577636718750e-02
2.950000000000000000e+01,-1.331477970380222919e-01,6.299996376037597656e-02
2.966666666666666430e+01,-1.206684434338149980e-01,6.299996376037597656e-02
2.983333333333333215e+01,-1.049241320107416053e-01,6.299996376037597656e-02
3.000000000000000000e+01,-8.636785321470241694e-02,6.299996376037597656e-02
3.016666666666666430e+01,-6.552749709220390129e-02,6.500005722045898438e-02
3.033333333333333215e+01,-4.299093149285584947e-02,9.500002861022949219e-02
3.050000000000000000e+01,-1.938968716096128864e-02,7.500004768371582031e-02
3.066666666666666430e+01,4.618813458797296420e-03,6.299996376037597656e-02
3.083333333333333215e+01,2.836953683058889009e-02,7.899999618530273438e-02
3.100000000000000000e+01,5.120813856133422243e-02,6.299996376037597656e-02
3.116666666666666430e+01,7.250900997000370163e-02,6.299996376037597656e-02
3.133333333333333215e+01,9.169198085018381850e-02,6.400012969970703125e-02
3.150000000000000000e+01,1.082388844394583938e-01,6.299996376037597656e-02
3.166666666666666430e+01,1.217067401707331992e-01,5.600023269653320312e-02
3.183333333333333215e+01,1.317397889912693965e-01,6.200003623962402344e-02
3.200000000000000000e+01,1.380789656426905099e-01,6.299996376037597656e-02
3.216666666666666430e+01,1.405684867588903875e-01,6.299996376037597656e-02
3.233333333333332860e+01,1.391595801162225920e-01,5.999994277954102256e-02
3.250000000000000000e+01,1.339112671531635101e-01,7.899999618530273438e-02
3.266666666666666430e+01,1.249879943399658938e-01,6.299996376037597656e-02
3.283333333333332860e+01,1.126551421320667046e-01,6.500005722045898438e-02
3.300000000000000000e+01,9.727058233949703592e-02,5.599999427795410156e-02
3.316666666666666430e+01,7.927460449135628751e-02,6.200003623962402344e-02
3.333333333333332860e+01,5.917738164122666317e-02,6.299996376037597656e-02
3.350000000000000000e+01,3.754441165004541309e-02,7.799983024597167969e-02
3.366666666666666430e+01,1.498089985012593037e-02,6.300020217895507812e-02
3.383333333333332860e+01,-7.887971671999310930e-03,4.900002479553222656e-02
3.400000000000000000e+01,-3.042122536398575092e-02,6.699991226196289062e-02
3.416666666666666430e+01,-5.200583758216568986e-02,4.999995231628417969e-02
3.433333333333332860e+01,-7.204767519014199095e-02,6.299996376037597656e-02
3.450000000000000000e+01,-9.000065525356432117e-02,6.599998474121093750e-02
3.466666666666666430e+01,-1.053787859270676058e-01,7.500004768371582031e-02
3.483333333333332860e+01,-1.177698472794695000e-01,6.299996376037597656e-02
3.500000000000000000e+01,-1.268456460839338940e-01,6.299996376037597656e-02
3.516666666666666430e+01,-1.323713120381538877e-01,5.700016021728516319e-02
3.533333333333332860e+01,-1.342111085423718930e-01,6.499981880187988281e-02
3.550000000000000000e+01,-1.323314635886455870e-01,6.200003623962402344e-02
3.566666666666666430e+01,-1.268018232574399939e-01,4.900002479553222656e-02
3.583333333333332860e+01,-1.177921645642606013e-01,6.299996376037597656e-02
3.600000000000000000e+01,-1.055673481867604041e-01,6.299996376037597656e-02
3.616666666666666430e+01,-9.048008982674501932e-02,6.299996376037597656e-02
3.633333333333332860e+01,-7.296040180652685336e-02,6.299996376037597656e-02
3.650000000000000000e+01,-5.350359842208583100e-02,7.999992370605468750e-02
3.666666666666666430e+01,-3.265606984713583655e-02,7.000017166137695312e-02
3.683333333333332860e+01,-1.100005105692574044e-02,7.899999618530273438e-02
3.700000000000000000e+01,1.050509296284917946e-02,5.999994277954102256e-02
3.716666666666666430e+01,3.232615826386840696e-02,6.200003623962402344e-02
3.733333333333332860e+01,5.279999000255074237e-02,6.299996376037597656e-02
